,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-03-025
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Sea urchin fisheries: a California perspective
3,Author:,"Dewees, C. M."
4,Publication Year :,2003
5,Source Citation:,"""Sea Urchins: Fisheries and Ecology,"" Proceedings of the International Conference on Sea-urchin Fisheries and Aquaculture 2003, pp. 37-55, Puerto Varas, Chile, March 25- 27, 2003."
6,# Pages / Video Length:,19
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,A/EA-1
9,Abstract:,"Fishery agencies encouraged urchin fishing in the early 1970s in California and the fishery peaked in the 1980s. The author of this paper presents a concise description of the ecology of the red sea urchin ""Strongylocentr​otus franciscanus"" and the California coastal environment. A summary of the fishery, its management, and current status follows, plus a discussion of future management strategies."
