,MetadataField,Metadata
0,NSGL Document #:,MEU-E-17-002
1,Sea Grant Program/Affiliate:,Maine Sea Grant
2,Title:,Oceanic Scales Lesson Plan #2: Phytoplankton Game Cards
3,Publication Year :,2017
4,Publisher:,"Orono, ME: Coaction Laboratory, University of Maine and Santa Cruz, CA: Open Laboratory, University of California Santa Cruz."
5,# Pages / Video Length:,9
6,Publication Type:,educational materials
7,Project #:,Dv-15-15
8,URL:,http://oceanics​cales.com/ocean​ic-​scales-​lesson-​plan-​2-​phytoplankton-​cards/
9,Abstract:,"Students will gain new understanding, appreciation and emotional connections to phytoplankton by making the invisible visible through a series of lesson plans and interactive puzzle game experiences."
