,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-90-041
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Identification and characterizatio​n of a 15-lipoxygenase from fish gills
3,Author:,"German, J. Bruce"
4,,"Creveling, Richard K."
5,Publication Year :,1990
6,Source Citation:,"""Journal of Agricultural and Food Chemistry,"" 38:2144-2147, 1990."
7,# Pages / Video Length:,4
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/F-133
10,Abstract:,"An arachidonic acid 15-lipoxygenase activity was discovered in the gill tissue of teleost fishes during purification of the previously recognized and more preponderant 12-lipoxygenase enzyme. The total activity of this enzyme following purification was significantly greater than in the crude tissue preparation, suggesting that an inhibition was removed during purification. The enzyme was active toward polyunsaturated fatty acids present in the tissue producing hydroxylated metabolites from fatty acids with 18-, 20-, and 22-carbon chain lengths at carbons 13, 15, and 17, respectively. The enzyme was further purified and eluted with an apparent molecular weight of 70,000."
