,MetadataField,Metadata
0,NSGL Document #:,CASG-R-13-039
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Foraging ecology and movement patterns of jumbo squid (Dosidicus gigas) in the California Current System
3,Author:,"Field, John C."
4,,"Elliger, Carl"
5,,"Baltz, Ken"
6,,"Gillespie, Graham E."
7,,"Gilly, William F."
8,,"Ruiz-Cooley, R.I."
9,,"Pearse, Devon"
10,,"Stewart, Julia S."
11,,"Matsubu, William"
12,,"Walker, William A."
13,Publication Year :,2013
14,Source Citation:,"""Deep-Sea Research II,"" 95:37-51, October 2013."
15,DOI #:,10.1016/j.dsr2.​2012.09.006
16,# Pages / Video Length:,15
17,Publication Type:,reprints (peer-reviewed)
18,Project #:,R/OPCFISH-06
19,Abstract:,"From 2002 to 2010, the jumbo squid (Dosidicus gigas) has been regularly encountered in large numbers throughout the California Current System (CCS). This species, usually found in subtropical waters, could affect coastal pelagic ecosystems and fisheries as both predator and prey. Neither the abundance of jumbo squid nor the optimal ocean conditions in which they flourish are well known. To understand better the potential impacts of this species on both commercial fisheries and on food-web structure we collected nearly 900 specimens from waters of the CCS, covering over 20 degrees of latitude, over a range of depths and seasons. We used demographic information (size, sex, and maturity state) and analyzed stomach contents using morphological and molecular methods to best understand the foraging ecology of this species in different habitats of the CCS. Squid were found to consume a broad array of prey. Prey in offshore waters generally reflected the forage base reported in previous studies (mainly mesopelagic fishes and squids), whereas in more coastal waters (shelf, shelf break and slope habitats) squid foraged on a much broader mix that included substantial numbers of coastal pelagic fishes (Pacific herring and northern anchovy, as well as osmerids and salmonids in northern waters) and groundfish (Pacific hake, several species of rockfish and flatfish). We propose a seasonal movement pattern, based on size and maturity distributions along with qualitative patterns of presence or absence, and discuss the relevance of both the movement and distribution of jumbo squid over space and time. We find that jumbo squid are a generalist predator, which feeds primarily on small, pelagic or mesopelagic micronekton but also on larger fishes when they are available. We also conclude that interactions with and potential impacts on ecosystems likely vary over space and time, in response to both seasonal movement patterns and highly variable year-to-year abundance of the squid themselves."
