,MetadataField,Metadata
0,NSGL Document #:,OHSU-R-98-007
1,Sea Grant Program/Affiliate:,Ohio Sea Grant
2,Title:,"Tandemly repeated sequences in the mitochondrial DNA control region and phylogeography of the pike-perches ""Stizostedion"""
3,Author:,"Faber, Joseph E."
4,,"Stepien, Carol A."
5,Publication Year :,1998
6,Source Citation:,"""Molecular Phylogenetics and Evolution,"" 10(3):310-322, December 1998."
7,# Pages / Video Length:,13
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,OHSU-RS-234
10,Project #:,R/LR-3-PD
11,Abstract:,"The objectives of this investigation are to (1) discern systematic and phylogeographic relationships among the species of ""Stizostedion"" and test the three hypotheses of transcontinenta​l dispersal, (2) compare and elucidate the structure of the mtDNA control region, and (3) evaluate the possible mechanism governing the formation and maintenance of repeats. California brating genetic distances with divergence times supports the hypothesis that ""Stizostedion"" dispersed from Eurasia to North America across a North Pacific Beringial land bridge approximately 4 million years before present. The North American ""S. vitreum"" and ""S canadense"" appear separated by about 2.75 million years, and the Eurasian ""S. lucioperca"" and ""S. volgensis"" are diverged by about 1.8 million years, suggesting that speciation occurred during the late Pliocene."
