,MetadataField,Metadata
0,NSGL Document #:,SCU-V-94-001
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,Environmental education: making a difference
3,Author:,"Katter, Jill Ladwig"
4,,"Grifman, Phyllis"
5,Publication Year :,1994
6,# Pages / Video Length:,1
7,Publication Type:,videos
8,Program Report #:,USCSG-ME-01-94
9,Notes:,video
10,Abstract:,"An innovative environmental education program, the 'Adopt A Beach School Assembly Program,' is presented in a short video program. The purpose of the video is to introduce educators to this unique integration of classroom education and hands-on learning through community service. The video program shows how children learn through recycling and community involvement in programs that they can make a difference in the world in which they live."
