,MetadataField,Metadata
0,NSGL Document #:,CUIMR-T-92-006
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Management of human error in operations of marine systems: modeling human errors in operations of marine systems: case study examples
3,Author:,"Moore, William H."
4,,"Bea, Robert G."
5,Publication Year :,1992
6,# Pages / Video Length:,30
7,Publication Type:,technical reports/surveys​/patents
8,Program Report #:,HOE-92-5
9,Project #:,R/OE-17
10,Abstract:,"To date no considerations have been established to include human and organizational errors as an integral part of the design, construction, and operation of tankers and offshore structures. This report examines the development of human and organizational error models for two case study examples to identify and correlate the impacts of human factors on marine casualties. In addition, the model develpments assist engineers, operators, and regulators in determining HOE management alternatives in developing future operating policy and procedures."
