,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-85-078
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,RUM III vehicle control system
3,Author:,"Currier, Richard E."
4,Publication Year :,1985
5,Source Citation:,"""Proceedings of the Oceans '85 Conference,"" Volume 2, pp. 1045-1051, San Diego, California, November 12-14, 1985."
6,Publication Type:,reprints (not peer-reviewed)
7,Program Report #:,MPL-U-46/85
8,Project #:,R/OT-6
9,Abstract:,"The hardware and software of a control system for the RUM III submersible ROV are described. The functional requirements, design constraints, and system configuration are first examined. A description of the hardware systems and their corresponding software components follows."
