,MetadataField,Metadata
0,NSGL Document #:,CASG-R-14-005
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Dietary niche expansion of a kelp forest predator recovering from intense commercial exploitation
3,Author:,"Hamilton, Scott L."
4,,"Newsome, Seth D."
5,,"Caselle, Jennifer E."
6,Publication Year :,2014
7,Source Citation:,"""Ecology,"" 95(1):164-172, January 2014."
8,# Pages / Video Length:,9
9,Publication Type:,reprints (peer-reviewed)
10,Project #:,R/OPCFISH-205
11,Abstract:,"Marine ecosystems are increasingly at risk from overexploitatio​n and fisheries collapse. As managers implement recovery plans, shifts in species interactions may occur broadly with potential consequences for ecosystem structure and function. In kelp forests off San Nicolas Island, California, USA, we describe striking changes in size structure and life history traits (e.g., size at maturation and sex change) of a heavily fished, ecologically important predator, the California sheephead (Semicossyphus pulcher). These changes occurred in two phases: (1) after intense commercial fishery exploitation in the late 1990s and (2) following recovery in the late 2000s, nearly a decade after management intervention. Using gut contents and stable-isotope values of sheephead and their prey, we found evidence for a dietary niche expansion upon recovery of population size structure to include increased consumption of sea urchins and other mobile invertebrate grazers by larger sized fish. By examining historical diet data and a time series of benthic community composition, we conclude that changes in dietary niche breadth are more likely due to the recovery of size structure from fishing than major shifts in prey availability. Size-dependent predator-prey interactions may have ecosystem consequences and management measures that preserve or restore size structure, and therefore historical trophic roles of key predators, could be vital for maintaining kelp forest ecosystem health."
