,MetadataField,Metadata
0,NSGL Document #:,ORESU-G-04-008
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Selected Crabs of Oregon and Washington Identification Guide
3,Author:,"Whipple, Monica"
4,,"Yamada, Sylvia"
5,Publication Year :,2004
6,Publisher:,OSU Sea Grant College Program
7,# Pages / Video Length:,2
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,ORESU-G-04-008
10,Grant/Contract #:,NOAA SEA GRANT
11,Project #:,M/A-20
12,Abstract:,"Oregon Sea Grant has produced a colored fact sheet on crabs in Oregon and Washington. It provides photographs and descriptions of eleven common crabs of the region and two invasive species, the European green crab and the Chinese mitten crab, the latter of which has invaded California and is said to be heading north."
