,MetadataField,Metadata
0,NSGL Document #:,RIU-R-03-002
1,Sea Grant Program/Affiliate:,Rhode Island Sea Grant
2,Title:,"Rapid evolution of an established feral tilapia (""Oreochromis"" spp.): the need to incorporate invasion science into regulatory structures"
3,Author:,"Costa-Pierce, Barry A."
4,Publication Year :,2003
5,Source Citation:,"""Biological Invasions,"" 5:71-84, 2003."
6,# Pages / Video Length:,14
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,P1667
9,Abstract:,"Reproductively viable tilapiine hybrids have arisen in aquaculture settings before escaping to the wild. The author of this work conducted microsatellite DNA marker studies of 139 tilapia from ten locations (6 feral, 4 in culture) in southern California. Genetic similarities to a worldwide tilapia genetic database were compared by formulating a neighbor-​joining dendrogram. Because genetic material of certain prohibited species was found to be present in feral stocks in California, the author recommends that a regulatory structure to control exotic tilapia be based on DNA microsatellite markers rather than morphometric and meristic data."
