,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-93-034
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Isolation of full-length RNA templates for reverse transcription from tissues rich in RNase and proteoglycans
3,Author:,"Groppe, Jay C."
4,,"Morse, Daniel E."
5,Publication Year :,1993
6,Source Citation:,"""Analytical Biochemistry,"" 210:337-343, 1993."
7,# Pages / Video Length:,7
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/A-86
10,Abstract:,"RNA isolated by conventional guanidinium isothiocyanate methods from tissues of a mollusc (red abalone: ""Haliotis rufescens"") is largely degraded and discolored by contaminants. These contaminants are associated with inhibition of reverse transcriptase, prevent accurate spectrophotomet​ric determination of RNA concentration, and impart undesirable viscosity to the preparations. A cold two-step method of RNA isolation was devised which provides high yields of full-length RNA templates from these tissues and elimates the discolored contaminant."
