,MetadataField,Metadata
0,NSGL Document #:,CUIMR-B-01-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,California's Living Marine Resources: A Status Report
3,Editor :,"Leet, William S."
4,,"Dewees, Christopher M."
5,,"Klingbeil, Richard"
6,,"Larson, Eric J."
7,Publication Year :,2001
8,Publisher:,California Department of Fish and Game/University of California Sea Grant Program
9,# Pages / Video Length:,592
10,Publication Type:,books
11,Program Report #:,SG01-11
12,Grant/Contract #:,NA06RG0142
13,Project #:,A/EA-1
14,,AE/1
15,Abstract:,"The 600 page book is meant to provide lay people and specialists alike with the best available information on the oceanic, environmental, regulatory, and socioeconomic factors that bear on the management of California's living marine resources. Chapters on the major coastal ecosystems (nearshore, offshore, and bays and estuaries) include descriptions, major issues facing fisheries managers, and management frameworks. Maps, graphs and illustrations are included."
