,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-91-083
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Osmoregulatory actions of insulin-like growth factor-I in rainbow trout (""Oncorhynchus mykiss"")"
3,Author:,"McCormick, S. D."
4,,"Sakamoto, T."
5,,"Hasegawa, S."
6,,"Hirano, T."
7,Publication Year :,1991
8,Source Citation:,"""Journal of Endocrinology,"" 130:87-92, 1991."
9,# Pages / Video Length:,6
10,Publication Type:,reprints (peer-reviewed)
11,Project #:,R/F-117
12,Abstract:,"The ability of insulin-like growth factor-I (IGF-I), insulin, and growth hormone to promote hypoosmoregulat​ory ability was examined in juvenile rainbow trout (""Oncorhynchus mykiss""). The results indicate that IGF-I is a potential mediator of the action of GH in seawater adaptation of salmonids."
