,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-97-030
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Ningalins A-D: novel aromatic alkaloids from a Western Australian ascidian of the genus ""Didemnum"""
3,Author:,"Kang, Heonjoong"
4,,"Fenical, William"
5,Publication Year :,1997
6,Source Citation:,"""The Journal of Organic Chemistry,"" 62(10):3254-​3262, 1997."
7,# Pages / Video Length:,9
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-59
10,Abstract:,"Four aromatic alkaloids, ningalins A-D (1-4), three of which possess new carbon skeletons, were isolated from an undescribed ascidian of the genus ""Didemnum"" collected in Western Australia near Ningaloo Reef. The structures of these new alkaloids were elucidated by interpretation of overall spectral data and by 2D NMR correlation methods. Because the ningalins are related to other metal binding catechols, it is conceivable that they too participate in the metal chelation phenomena characteristic of this class of marine invertebrates."
