,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-89-034
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Characterizatio​n of male reproductive tract degenerative syndrome in captive penaeid shrimp (""Penaeus setiferus"")"
3,Author:,"Talbot, P."
4,,"Howard, D."
5,,"Leung-Trujillo, J."
6,,"Lee, T. W."
7,,"Li, W.-Y-"
8,,"Ro, H."
9,,"Lawrence, A. L."
10,Publication Year :,1989
11,Source Citation:,"""Aquaculture,"" 78:365-377, 1989."
12,Publication Type:,reprints (peer-reviewed)
13,Project #:,R/A-59
14,Abstract:,"Penaeids normally reproduce offshore in oceanic water. Under laboratory conditions the reproductive tract of male penaeids often deteriorates and darkens due to the deposition of a black substance presumed to be melanin; males experiencing this degenerative change are infertile. The factors responsible for degeneration are not known; however, the problem is of importance to individuals using penaeids for aquaculture or experimental purposes. In this study, a time-course experiment was undertaken to characterize the degenerative changes occurring in ""Penaeus setiferus"" during maintenance in the laboratory. This species was chosen as its tract is especially susceptible to darkening in captivity."
