,MetadataField,Metadata
0,NSGL Document #:,CASG-G-11-009
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,An estimate of white sharks off central California
3,Author:,"Chapple, Taylor"
4,,"Johnson, Christina S."
5,Publication Year :,2011
6,# Pages / Video Length:,2
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Project #:,C/P-1
9,Abstract:,The goal of this project was to construct an estimate of the number of adult and near-adult white sharks in the northeast Pacific Ocean - one of three genetically distinct populations worldwide; the other two are centered off Australia/New Zealand and South Africa.
