,MetadataField,Metadata
0,NSGL Document #:,CUIMR-G-96-001
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Recommendations for handling ridgeback shrimp
3,Author:,"Price, Robert J."
4,,"Tom, Pamela D."
5,,"Richards, John B."
6,Publication Year :,1996
7,# Pages / Video Length:,2
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,UCSGEP 96-1
10,Project #:,A/EA-1
11,Abstract:,"This two-page leaflet gives tips to fishermen and seafood processors on how to produce high quality ridgeback shrimp. The leaflet describes discoloration problems and controls, and recommends handling and storage procedures."
