,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-88-040
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Monoclonal antibodies to carrageenan
3,Author:,"Vreeland, Valerie"
4,,"Zablackis, Earl"
5,,"Laetsch, Watson M."
6,Publication Year :,1988
7,Source Citation:,"""Algal Biotechnology,"" T. Stadler, et al. (eds.), pp. 431-439, 1988."
8,Publication Type:,reprints (peer-reviewed)
9,Project #:,R/MP-36
10,Abstract:,"Monoclonal antibodies were produced to kappa carrageenan, a gelling phycocolloid from red algae. Mouse sera were screened for antibody production; antibodies were screened by enzyme immunoassay and selected by immunofluoresce​nce. The specificities of eight antibodies were studied with inhibition of enzyme immunoassay by kappa, iota and lambda carrageenans. One antibody was quite specific for kappa carrageenan, one antibody reacted least with kappa carrageenan and several antibodies preferred either kappa or iota types of gelling carrageenan to the highly sulfated, non-gelling lambda carrageenan. Applications of these antibodies include analysis of carrageenan composition, cell wall studies and algal and protoplast strain selection for improved gel quality."
