,MetadataField,Metadata
0,NSGL Document #:,CASG-NR-11-003
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"New policies, initiatives could advance U.S. aquaculture"
3,Author:,"Olin, Paul G."
4,,"Tom, Pamela D."
5,Publication Year :,2011
6,Source Citation:,"""Global Aquaculture Advocate,"" 14(6):18-19, November/Decemb​er 2011."
7,# Pages / Video Length:,2
8,Publication Type:,reprints (not peer-reviewed)
9,Project #:,A/EA-AR-01B
10,Abstract:,"New government policies and initiatives will likely advance aquaculture in the United States. The Department of Commerce and National Oceanic and Atmospheric Administration policies are intended to facilitate sustainable marine aquaculture, restore natural resources and enhance fisheries. Additional initiatives address shellfish production, aquaculture management in the Gulf of Mexico and technology transfer. Collectively, they will also educate the public about aquaculture, break down regulatory hurdles and advance the science of sustainable aquaculture."
