,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-73-027
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"OBSERVED LIVER CHANGES IN RAINBOW TROUT (""SALMO GAIRDNERI"") FED VARYING LEVELS OF A CASEIN-GELATIN MIXTURE AND HERRING OIL IN EXPERIMENTAL DIETS"
3,Author:,"LEE, DONALD JACK"
4,,"WALES, JOSEPH HOWE"
5,Publication Year :,1973
6,Source Citation:,"FISHERIES RESEARCH BOARD OF CANADA. JOURNAL, 30(07):1017-​1020, JULY 1973"
7,# Pages / Video Length:,4
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-​R-​73-​027; OSU AES TP# 3483
10,Grant/Contract #:,NOAA SEA GRANT
