,MetadataField,Metadata
0,NSGL Document #:,ORESU-G1-78-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,RADAR REFLECTORS FOR BOATS
3,Author:,"CONDON, EDWARD J"
4,,"KOLBE, EDWARD R"
5,Publication Year :,1978
6,Publisher:,"Oregon State University SG, Extension Marine Advisory Program"
7,# Pages / Video Length:,6
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,ORESU-​G1-​78-​002; SG 41
10,Grant/Contract #:,NOAA Sea Grant
11,Abstract:,"Key words: Marine Electronics; Radar, electronic navigation."
