,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-77-007
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,BEACH SAND TRANSPORT: DISTRIBUTION AND TOTAL DRIFT
3,Author:,"KOMAR, PAUL D"
4,Publication Year :,1977
5,Source Citation:,"WATERWAY, PORT, COASTAL AND OCEAN DIVISION AMERICAN SOCIETY OF COASTAL E NGINEERS. JOURNAL, 103(WW2):225-​239, MAY 1977"
6,# Pages / Video Length:,15
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-R-77-007
9,Grant/Contract #:,NOAA SEA GRANT
10,Abstract:,BEACHES;COASTAL ENGINEERING;LAB​ORATORY TESTS;LITTORAL DRIFT;S
