,MetadataField,Metadata
0,NSGL Document #:,ORESU-G1-77-006
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,MARINE FIRES: PREVENTING THEM; FIGHTING THEM
3,Author:,"CONDON, EDWARD J"
4,Publication Year :,1977
5,Publisher:,"Oregon State University Extension Marine Advisory Program, Sea Grant"
6,# Pages / Video Length:,6
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,ORESU-​G1-​77-​006; SG 44
9,Grant/Contract #:,NOAA Sea Grant
10,Abstract:,MARINE SAFETY
