,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-73-019
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,DESCRIPTIONS OF THE LARVAE OF FOUR NORTH PACIFIC PORCELLANIDAE (CRUSTACEA: ANOMURA)
3,Author:,"GONOR, S L"
4,,"GONOR, JEFFERSON JOHN"
5,Publication Year :,1973
6,Source Citation:,"FISHERY BULLETIN, 71(01):189-223, JAN. 1973"
7,# Pages / Video Length:,35
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-73-019
10,Grant/Contract #:,NOAA Sea Grant; FWQA G# 5T1-WP-111-02
11,,FWQA G# 5T1-WP-111-03 FWQP G# 5T1-WP-111-04
