,MetadataField,Metadata
0,NSGL Document #:,ORESU-O-12-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Confluence (Volume 1, Issue 2, Summer 2012)"
3,Editor :,"Cooper, Rick"
4,Publication Year :,2012
5,# Pages / Video Length:,12
6,Publication Type:,periodicals
7,Program Report #:,ORESU-O-12-002
8,Project #:,M/A-21
9,Abstract:,Oregon's fisheries: scientists and fishermen working together.
10,,The following articles are included in this periodical: 1. You talk and you change the world. Nathan Gilles pp. 3-6. 2. Marine researves create new opportunities for research collaboration. pg. 7. 3. Lorenzo Ciannelli and the flipping fish. Nathan Gilles pp. 8-9
