,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-73-021
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"SEX RATIO AND HERMAPHRODITISM IN OREGON INTERTIDAL POPULATIONS OF THE ECHINOID ""STRONGYLOCENTR​OTUS PURPURATUS"""
3,Author:,"GONOR, JEFFERSON JOHN"
4,Publication Year :,1973
5,Source Citation:,"MARINE BIOLOGY, 19(04):278-280, APR. 1973"
6,# Pages / Video Length:,3
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-​R-​73-​021; NOAA-73110507
9,Grant/Contract #:,NOAA SEA GRANT
