,MetadataField,Metadata
0,NSGL Document #:,ORESU-L-83-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,OREGON STATE UNIVERSITY MARINE-RELATED PUBLICATIONS 1983-1984
3,Editor :,"RIDLINGTON, SANDRA"
4,Publication Year :,1983
5,Publisher:,OSU Sea Grant College Program
6,Publication Type:,directories/bib​liographies/ind​exes
7,Program Report #:,ORESU-L-83-003
8,Grant/Contract #:,NOAA SEA GRANT
9,Notes:,need to scan
10,Abstract:,A listing of Oregon Sea Grant funded marine related publications for 1983-1984.
