,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-76-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,OREGON COAST SHORELINE CHANGES DUE TO JETTIES
3,Author:,"KOMAR, PAUL D"
4,,"LIZARRAGA-​ARCINIEGA, JOSE ROMAN"
5,,"TERICH, THOMAS A"
6,Publication Year :,1976
7,Source Citation:,"AMERICAN SOCIETY OF CIVIL ENGINEERS. WATERWAYS, HARBORS AND COASTAL ENGINEERING DIVISION. JOURNAL, 102(WW1):13-30, FEB. 1976"
8,# Pages / Video Length:,18
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,ORESU-​R-​76-​002; ASCE PP# 11933
11,Grant/Contract #:,NOAA SEA GRANT
12,Abstract:,BEACHES;COASTAL ENGINEERING;COM​PUTER MODELS;EROSION; LITTORAL
