,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-10-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,How to scrape a koi (online video)
3,Author:,"Miller-Morgan, Tim"
4,Publication Year :,2010
5,# Pages / Video Length:,19:26 minutes
6,Publication Type:,videos
7,Program Report #:,ORESU-V-10-003
8,Project #:,A/ESG-07
9,URL:,http://www.koi.​tv/Video-​Player/VideoId/​55/how-​to-​scrape-​a-​koi
10,Abstract:,"Tim-Miller Morgan shows how to scrape a koi. Dr. Tim-Miller Morgan, DVM, Ornamental Fish Health Program at Oregon State University, Oregon Sea Grant Extension, College of Veterinary Medicine at Hatfield Marine Science Center, Newport, Oregon. He is also involved in doing some wet labs with different koi clubs."
