,MetadataField,Metadata
0,NSGL Document #:,ORESU-E-13-010
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Take the Tsunami Challenge [exhibit]
3,Author:,"Farley, Mark"
4,Publication Year :,2013
5,# Pages / Video Length:,1
6,Publication Type:,educational materials
7,Program Report #:,ORESU-E-13-010
8,Project #:,A/ESG-07
9,Abstract:,An interactive display that allows individuals to build their own tsunami-​resistant structure using Legos in a wave tank. Engineering tips are given to see if their structure can withstand a tsunami. A tsunami description and what to do in case of a tsunami are also provided.
