,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-82-018
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,THE 1981 AMENDMENTS TO THE MARINE MAMMAL PROTECTION ACT
3,Author:,"HILDRETH, RICHARD"
4,,"SCHOOLCRAFT, KEN"
5,Publication Year :,1982
6,Source Citation:,"THE COASTAL SOCIETY. BULLETIN, 6(01):16-18, APRIL 1982"
7,# Pages / Video Length:,3
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-82-018
10,Grant/Contract #:,NOAA SEA GRANT
11,Project #:,R/PPA-17
12,Abstract:,MAMMAL;PROTECTI​ON;LAW
