,MetadataField,Metadata
0,NSGL Document #:,ORESU-N-15-01e
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Oregon Coast STEM Hub e-Blast (May 2015)
3,Author:,"Goodwin, Cait"
4,Publication Year :,2015
5,Publication Type:,periodicals
6,Program Report #:,ORESU-N-15-01e
7,Project #:,A/ESG-07
8,URL:,http://oregonco​aststemhub.cmai​l2.com/t/ViewEm​ail/t/628E71DDA​90A0F06/F63BC38​AF19B6102D9767B​6002735221
9,Abstract:,"Oregon Coast STEM Hub May 2015 e-newsletter provides dates and registration information of state-wide STEM week, teacher professional development opportunities, student STEM experiences, funding opportunities, and other miscellaneous upcoming events."
