,MetadataField,Metadata
0,NSGL Document #:,ORESU-D-75-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Oregon State University Sea Grant College Program Project Directory 1976-1977
3,Publication Year :,1975
4,Publisher:,OSU Sea Grant College Program
5,# Pages / Video Length:,19
6,Publication Type:,"program reports (annual, progress, planning reports, etc)"
7,Program Report #:,ORESU-D-75-001
8,Grant/Contract #:,NOAA Sea Grant
9,Abstract:,A directory of Oregon Sea Grant funded projects for 1976-1977.
