,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-99-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Sustaining groundfish through seafloor science
3,Publication Year :,1999
4,# Pages / Video Length:,xx minutes
5,Publication Type:,videos
6,Program Report #:,ORESU-V-99-003
7,Grant/Contract #:,NOAA Sea Grant
8,Project #:,M/A-13; R/HBT-03-PD
9,Abstract:,This educational video describes research that has been supported by Oregon Sea Grant and the National Marine Fisheries Service during 1998 and 1999 to better identify important groundfish habitat of the continental shelf off Oregon. Included are interviews with researchers and footage of a research cruise and submersible dives on Heceta Bank.
