,MetadataField,Metadata
0,NSGL Document #:,ORESU-L-02-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Oregon Sea Grant Publications and Videos 2003
3,Author:,Oregon Sea Grant Communications
4,Publication Year :,2002
5,Publisher:,OSU Sea Grant
6,# Pages / Video Length:,28
7,Publication Type:,directories/bib​liographies/ind​exes
8,Program Report #:,ORESU-L-02-001
9,Grant/Contract #:,NOAA Sea Grant No. NA76RG0476
10,Project #:,M/A-13
11,Notes:,No specific author listed
12,Abstract:,"This catalog lists nearly 200 publications and videos funded by Oregon Sea Grant. Entries are organized by topic and medium. Ordering information is provided, as are URLs for the numerous publications available online."
