,MetadataField,Metadata
0,NSGL Document #:,ORESU-N-15-01g
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Oregon Coast STEM Hub e-Blast (July 2015)
3,Author:,"Goodwin, Cait"
4,Publication Year :,2015
5,Publication Type:,periodicals
6,Program Report #:,ORESU-N-15-01g
7,Project #:,A/ESG-07
8,URL:,http://us11.cam​paign-​archive1.com/?u​=60d11f0e6332f8​61877868f9d&id=​bcf6863970&e=d8​06b31812
9,Abstract:,Oregon Coast STEM Hub July 2015 e-newsletter provides professional development opportunities and summer STEM experiences for students.
