,MetadataField,Metadata
0,NSGL Document #:,LSU-R-04-015
1,Sea Grant Program/Affiliate:,Louisiana Sea Grant
2,Title:,Isotope sourcery and the importance of detritus in fueling food webs
3,Author:,"Fry, Brian"
4,,"Carman, Kevin"
5,,"Fleeger, John"
6,,"Galvan, Kari"
7,,"Coleman, David"
8,,"Demopoulos, Amanda"
9,,"Currin, Carolyn"
10,,"Levin, Lisa"
11,,"Neira, Carlos"
12,Publication Year :,2004
13,Source Citation:,"""Symposium 1: In the Footsteps of Lewis and Clark: Rediscovering Earth from Land to Sea--A Biogeoscience Perspective,"" annual meeting of the Ecological Society of America, Portland, Oregon, August 2, 2004."
14,# Pages / Video Length:,1
15,Publication Type:,reprints (not peer-reviewed)
