,MetadataField,Metadata
0,NSGL Document #:,ORESU-G-93-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Choosing and buying residential property in the coastal zone
3,Author:,"Osis, V."
4,,"Hastie, B."
5,Publication Year :,1993
6,Publisher:,OSU Sea Grant
7,# Pages / Video Length:,5
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,SG85; ORESU-G-93-002
10,Grant/Contract #:,NOAA SEA GRANT
11,Project #:,A/ESG-02
12,Abstract:,"As the amount of developed coastline increases, the pool of remaining buildable waterfront land tends to diminish in quality. Prospective buyers should educate themselves about building on oceanfront property before making a purchase. This newsletter describes common concerns that affect coastal property in Oregon such as bluff erosion, beach erosion, and weather events. Also provided is a checklist to help assess traits of any particular parcel."
