,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-75-011
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"RECORDS OF LARVAL, TRANSFORMING, AND ADULT SPECIMENS OF THE QUILLFISH, ""PTILICHTHYS GOODEI"", FROM WATERS OFF OREGON"
3,Author:,"RICHARDSON, SALLY L"
4,,"DE HART, DOUGLAS A"
5,Publication Year :,1975
6,Source Citation:,"FISHERY BULLETIN, 73(03):681-685, JULY 1975"
7,# Pages / Video Length:,5
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-75-011
10,Grant/Contract #:,NOAA SEA GRANT
