,MetadataField,Metadata
0,NSGL Document #:,ORESU-NR-09-006
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Rain gardens come to Tillamook
3,Author:,"Emanuel, Robert"
4,Publication Year :,2009
5,Source Citation:,"""Tillamook County Tiller,"" 1 & 3, Fall 2009."
6,# Pages / Video Length:,2
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,ORESU-NR-09-006
9,Project #:,A/ESG-07
10,URL:,http://extensio​n.oregonstate.e​du/tillamook/si​tes/default/fil​es/documents/mg​/Fall_09_.pdf
