,MetadataField,Metadata
0,NSGL Document #:,ORESU-I-97-005
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Seafood waste management bibliography
3,Author:,"Hilderbrand, K. S. Jr."
4,Publication Year :,1997
5,# Pages / Video Length:,1
6,Publication Type:,directories/bib​liographies/ind​exes
7,Program Report #:,ORESU-I-97-005
8,Grant/Contract #:,NOAA Sea Grant
9,Project #:,A/ESG-3
10,Notes:,The URL provided by Oregon Sea Grant no longer goes to the site for this online publication.
11,URL:,http://www-​seafood.ucdavis​.edu/Pubs/compo​st.htm
12,Abstract:,"This bibliography of publications on seafood waste disposal has sections on composting, hydrolyzed fish/fish fertilizer, and waste management. Sea Grant will not be distributing hard copies. Instead, the publication is available at the web site address http://www-​seafood.ucdavis​.edu/Pubs/compo​st.htm."
