,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-14-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Oregon Sea Grant Presents: Floating Restroom PSA (online video)
3,Author:,"Monroe, M."
4,Publication Year :,2014
5,# Pages / Video Length:,37 seconds
6,Publication Type:,videos
7,Program Report #:,ORESU-V-14-001
8,Project #:,A/ESG-7
9,URL:,http://youtu.be/k9qVnVGFx7M
10,Abstract:,"You Tube video: A public service announcement sponsored by the Oregon State Marine Board, the Clean Vessel Act, Oregon Sportfish, and Oregon Sea Grant."
