,MetadataField,Metadata
0,NSGL Document #:,ORESU-N-73-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Ocean Law Memo (Volume 1, No. 1, December 10, 1973)"
3,Editor :,"Jacobson, Jon L."
4,Publication Year :,1973
5,Publisher:,"Oregon State University Sea Grant, Ocean Resources Law Program"
6,# Pages / Video Length:,5
7,Publication Type:,periodicals
8,Program Report #:,ORESU-N-73-003
9,Grant/Contract #:,NOAA Sea Grant
10,Notes:,One newsletter issue for 1973.
11,Abstract:,"The Ocean Law Memo is an advisory service of the Ocean Resources Law Program (ORLP) at the University of Oregon Law School in Eugene, Oregon. The ORLP is a part of the Department of Commerce, National Oceanic and Atmospheric Administration'​s (NOAA) Sea Grant Program, which provides the funding for this service. The following topic is in this issue: A 50-mile fisheries zone for Oregon?"
