,MetadataField,Metadata
0,NSGL Document #:,ORESU-G-72-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,BOTTOMFISHING PROVIDES A PLEASANT CHANGE FOR OREGON ANGLERS
3,Author:,"Heikkila, Paul"
4,Publication Year :,1972
5,Source Citation:,SERIES: MARINE RECREATION PUBLICATION
6,Publisher:,Oregon State University Sea Grant Extension MAP
7,# Pages / Video Length:,2
8,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
9,Program Report #:,ORESU-​G-​72-​004; SG Number 14
10,Grant/Contract #:,NOAA Sea Grant
11,Abstract:,RECREATION; FISHING; SURFPERCH;PILE PERCH FLOUNDER; BLACK ROCKFISH; STARRY FLOUNDER; GREENLING.
