,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-88-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Ptilodene, a novel icosanoid inhibitor of 5-lipoxygenase and Na+/K+-ATPase from the red marine alga ""Ptilota filicina"" J. Agardh"
3,Author:,"Lopez, Albert"
4,,"Gerwick, William H."
5,Publication Year :,1988
6,Source Citation:,"""Tetrahedron Letters,"" 29(13):1505-​1506, 1988."
7,# Pages / Video Length:,2
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-88-004
10,Grant/Contract #:,NOAA Sea Grant
11,Abstract:,"A new fatty acid with novel sites of oxidation was isolated and spectroscopical​ly defined from the red marine alga ""Ptilota filicina"". The pure natural product showed inhibitory activity to human 5-lipoxygenase, dog kidney Na+/K+-ATPase and the growth of several pathogenic gram-positive and -negative bacteria."
