,MetadataField,Metadata
0,NSGL Document #:,ORESU-W-20-016
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Careers in Science (Salmon Research): Jen Krajcik (Webinar November 4, 2020)"
3,Author:,"Krajcik, Jen"
4,,"Carroll, LIndsay"
5,Publication Year :,2020
6,Source Citation:,"Careers in Science Investigation Webinar November 4, 2020, Corvallis, Oregon."
7,Publisher:,"Oregon Sea Grant and published on YouTube December 14, 2020"
8,# Pages / Video Length:,33:54 minutes/seconds
9,Publication Type:,"webinars, virtual meetings, conferences, seminars"
10,Program Report #:,ORESU-W-20-016
11,Project #:,A/E/C OED 2018-21
12,URL:,https://youtu.b​e/6kQV_fZi2z4
13,Abstract:,"This career webinar is for students in grades 6-12 who want to explore careers in marine science. It features Jen Krajcik, manager of the Oregon Hatchery Research Center in Alsea."
