,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-00-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,The patterns of science: an introduction to the visitor center (Oregon State University's Hatfield Marine Science Center) (video)
3,Author:,Oregon Sea Grant
4,Publication Year :,2000
5,# Pages / Video Length:,xx minutes
6,Publication Type:,videos
7,Program Report #:,ORESU-V-00-002
8,Project #:,M/A-13
9,,A/ESG-4
10,Notes:,Video is not being distributed and not available on loan at this time. Strictly for use by OSU HMSC Visitor Center. Contact OSU Sea Grant for more information.
