,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-81-033
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,THE ECONOMICS OF SALMON MANAGEMENT UNDER THE FCMA: MUDDLING THROUGH FROM GRAVEL TO GRAVEL
3,Author:,"RETTIG, R BRUCE"
4,Publication Year :,1981
5,Source Citation:,"ECONOMIC ANALYSIS FOR FISHERIES MANAGEMENT PLANS LEE G. ANDERSON (EDITOR) PP. 143-164, 1981"
6,# Pages / Video Length:,22
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-R-81-033
9,Grant/Contract #:,NOAA SEA GRANT
10,Project #:,R/PPA-7
11,Abstract:,SALMON;MANAGEME​NT;ECONOMIC
