,MetadataField,Metadata
0,NSGL Document #:,ORESU-V-11-010
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Multi-touch table research (online video)
3,Author:,"Haley-Goldman, Kate"
4,Publication Year :,2011
5,# Pages / Video Length:,2.5 minutes
6,Publication Type:,videos
7,Program Report #:,ORESU-V-11-010
8,Project #:,A/ESG-07
9,URL:,http://www.yout​ube.com/watch?v​=78d5zc73E-​o&feature=plcp&​context=C4de441​8VDvjVQa1PpcFPQ​dj_8JHO0wN2W87L​rJ7djWyGZBVeaKh​o%3D
10,Abstract:,"Kate Haley-Goldman, director of Learning Research and Evaluation at the National Center for Interactive Learning, evaluates a multi-touch table with the Free-Choice Learning Lab at the Hatfield Marine Science Center."
