,MetadataField,Metadata
0,NSGL Document #:,ORESU-X-88-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Elemental analysis of zircon samples from Pacific northwest beaches by INAA
3,Author:,"Azim, Bilqees"
4,Publication Year :,1988
5,Publisher:,"Oregon State University, Sea Grant"
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X-88-002
9,Grant/Contract #:,NOAA Sea Grant
10,Project #:,R/CM-31
11,Notes:,Thesis abstract
12,Abstract:,see digital for abstract
