,MetadataField,Metadata
0,NSGL Document #:,ORESU-X-71-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,DESIGN AND DEVELOPMENT OF A HYDRAULIC SYSTEM FOR OUTBOARD-​ENGINE-​POWERED-​COMMERCIAL-​FISHING BOATS
3,Author:,"MARSHALL, CHARLES ALAN"
4,Publication Year :,1971
5,Publisher:,OSU
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X-71-003
9,Grant/Contract #:,NOAA SEA GRANT
10,Abstract:,ENGINE;DESIGN;H​YDRAULIC;ENGINE​ERING. SEE DIGITAL FOR ABSTRACT.
