,MetadataField,Metadata
0,NSGL Document #:,ORESU-W-16-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,West Coast Ocean Partnership 2016 Meeting Summary
3,Author:,"Forbes, Catherine Dayger"
4,Publication Year :,2016
5,Source Citation:,"West Coast Ocean Partnership Meeting, Portland, Oregon, October 25, 2016"
6,# Pages / Video Length:,9
7,Publication Type:,conference/work​shop proceedings
8,Program Report #:,ORESU-W-16-001
9,Project #:,E/INT-146
10,Abstract:,"This document summarizes the outcomes of a one-day meeting held in 2016 in Portland, Oregon to discuss the West Coast Ocean Partnership's regional ocean health priorities and next steps."
