,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-77-008
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,USE OF SWINE FAT AS AN ENERGY SOURCE IN TROUT RATIONS
3,Author:,"YU, T C"
4,,"SINNHUBER, RUSSELL OTTO"
5,,"PUTNAM, GEORGE B"
6,Publication Year :,1977
7,Source Citation:,"PROGRESSIVE FISH-CULTURIST, 39(02):95-97, APR. 1977"
8,# Pages / Video Length:,3
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,ORESU-R-77-008
11,Grant/Contract #:,NOAA SEA GRANT
12,Abstract:,"""SALMO GAIRDNERI"";AQUA​CULTURE"
