,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-73-029
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,MERCURY CONTENT OF OREGON GROUNDFISH
3,Author:,"CHILDS, ERNEST A"
4,,"GAFFKE, J N"
5,Publication Year :,1973
6,Source Citation:,"FISHERY BULLETIN, 71(03):713-717, JULY 1973"
7,# Pages / Video Length:,5
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-​R-​73-​029; OSU AES TP# 3422
10,Grant/Contract #:,NOAA SEA GRANT
11,Abstract:,SOLE;FLOUNDER;R​OCKFISH;SABLEFI​SH;LINGCOD;PACI​FIC HAKE; AND S
