,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-83-037
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,COMPARISON OF HISTOPATHOLOGY CAUSED BY VIBRIO ANGUILLARUM AND VIBRIO ORDALII IN THREE SPECIES OF PACIFIC SALMON
3,Author:,"RANSOM, D P"
4,,"LANNAN, C N"
5,,"ROHOVEC, J S"
6,,"FRYER, J L"
7,Publication Year :,1983
8,Source Citation:,"JOURNAL OF FISH DIEASES, 7( ):107-115, 1984"
9,# Pages / Video Length:,9
10,Publication Type:,reprints (peer-reviewed)
11,Program Report #:,ORESU-R-83-037
12,Grant/Contract #:,NOAA SEA GRANT
13,Project #:,R/FSD-5
14,Abstract:,HISTOPATHOLOGY;​VIBRIO;SALMON
