,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-78-008
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"THE CULTURE OF BRINE SHRIMP (""ARTEMIA SALINA"") UNDER SEMI-CONTROLLED CONDITIONS"
3,Author:,"ROGERS, LARRY O"
4,,"JOHNSTON, RICHARD S"
5,Publication Year :,1978
6,Source Citation:,WORLD MARICULTURE SOCIETY 8TH ANNUAL WORKSHOP PROCEEDINGS PP. 185-193 1977
7,# Pages / Video Length:,9
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,ORESU-R-78-008
10,Grant/Contract #:,NOAA SEA GRANT
