,MetadataField,Metadata
0,NSGL Document #:,OREXT-N-87-002
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"The Oregon Sea Pen (Volume 1, No. 1, 2, and 3, August, October, and December 1987)"
3,Author:,"Wick, William Q. (Director)"
4,Editor :,"Guthrie, Dan"
5,,"Gentle, Tom"
6,,"Larison, Jim"
7,Publication Year :,1987
8,Publisher:,Oregon State University Extension/Sea Grant Program
9,# Pages / Video Length:,24
10,Publication Type:,periodicals
11,Program Report #:,OREXT-N-87-002
12,Grant/Contract #:,NOAA Sea Grant
13,Notes:,Three newsletter issues in one entry for 1987.
14,Abstract:,"A bimonthly newsletter of the Oregon Sea Grant Program. The following topics are in these issues: No. 1: Port Sounds Debris Alert: Stow, Don't Throw that Trash; The Life and Times of Sea Pens (Ptilosarcus gurneyi); Newport Handles marine debris; Gill Nets Outlast HB 2366...But Will Sturgeon Outlast Nets and Lines?; Strong Medicine Found in Overlooked Seaweeds (Bill Gerwick); Oregon Trawlers to Test Nets in Denmark. No. 2: Satellites Spy on Whale: Atlantic Secrets Relayed to West Coast Collaborator (Bruce Mate); Whale tracked; Pomfret: 'Better than Salmon' (pomfret fishery explored); Our most precious resource is....visitors?​ No. 3: Seafloor Chimneys Old hat to Trawler; Researchers scan Continental Shelf for methane - Limestone factory sought off Oregon at 150 fathoms; It's Big, bulky, lucid, cheap, scientific and one of a kind. It's...The Oregon Oceanbook; Waterfront Beginnings Revisited; The Personal Worth of Rivers."
