,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-91-042
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Biotechnology in aquaculture
3,Author:,"Thorgaard, Gary"
4,,"Leong, Jo-Ann"
5,Publication Year :,1992
6,Source Citation:,"""Aquaculture Research Needs for 2000 AD,"" J. K. Wang and P. Dehadrai (eds.), pp. 205-223, 1991."
7,Publisher:,Mohan Publishing Company for Oxford and IBH Publishing Company
8,# Pages / Video Length:,19
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,ORESU-R-91-042
11,Grant/Contract #:,NOAA SEA GRANT
12,Project #:,R/FSD-16
