,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-72-008
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,NUTRITIONAL CHARACTERISTICS OF MARINE FOOD FISH CARCASS WASTE AND MACHINE-​SEPARATED FLESH
3,Author:,"CRAWFORD, DAVID LEE"
4,,"LAW, DUNCAN K"
5,,"BABBITT, JERRY K"
6,Publication Year :,1972
7,Source Citation:,"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY, 20(05):1048-​1051, SEPT.-OCT. 1972"
8,# Pages / Video Length:,4
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,ORESU-​R-​72-​008; OSU AES TP# 3292
11,Grant/Contract #:,NOAA SEA GRANT
