,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-98-027
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Co-management in small-scale fisheries: creating effective links among stakeholders
3,Author:,"Hanna, Susan"
4,Publication Year :,1998
5,Source Citation:,"""International Workshop on Community-Based Natural Resource Management Network (CBNRM),"" proceedings, Washington, D.C., May 10-14, 1998."
6,# Pages / Video Length:,10
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,ORESU-R-98-027
9,Grant/Contract #:,NOAA Sea Grant
10,Project #:,R/FDF-06
