,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-82-030
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,INTRODUCED AND NATIVE SPECIES OF WOOD-BORING ISOPODS (LIMNORIA) IN PACIFIC ESTUARIES
3,Author:,"GONOR, J J"
4,Publication Year :,1982
5,Source Citation:,"PACIFIC ESTUARINE RESEARCH SOCIETY MEETING PROCEEDINGS, 1P. SAN FRANCISCO, CALIFORNIA, DECEMBER 6-7, 1982"
6,# Pages / Video Length:,1
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,ORESU-R-82-030
9,Grant/Contract #:,NOAA SEA GRANT
10,Project #:,R/CP-18
11,Abstract:,ISOPOD;ESTUARY
