,MetadataField,Metadata
0,NSGL Document #:,ORESU-X-70-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,FERTILIZATION OF SALMONID EGGS WITH CRYO PRESERVED SPERM
3,Author:,"OTT, ALVIN GEORGE"
4,Publication Year :,1970
5,Publisher:,Oregon State University Sea Grant College Program
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X-70-001
9,Grant/Contract #:,NOAA SEA GRANT
10,Project #:,E/A-1
11,Abstract:,SALMONID EGGS;FERTILIZAT​ION;SPERM. See digital for thesis abstract.
