,MetadataField,Metadata
0,NSGL Document #:,ORESU-X-87-003
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"Establishment and characterizatio​n of three new cell lines from grass carp (""Ctenopharyngo​don idellus"")"
3,Author:,"Lu, Yuanan"
4,Publication Year :,1987
5,Publisher:,OSU Sea Grant Program
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X-87-003
9,Grant/Contract #:,NOAA Sea Grant
10,Project #:,R/FSD-10
11,Abstract:,see digital for thesis abstract
